X,X14.3.3_beta,X14.3.3_epsilon_Caution,X14.3.3_zeta,X4E.BP1,X4E.BP1_pS65,X4E.BP1_pT37_T46,X4E.BP1_pT70,X53BP1,A.Raf_pS299_Caution,ACC_pS79,ACC1_Caution,Acetyl.a.Tubulin..Lys40._Caution,ACVRL1_Caution,ADAR1,Akt,Akt_pS473,Akt_pT308,alpha.Catenin,AMPK_alpha_Caution,AMPK_pT172,Annexin.1,Annexin_VII,AR,ASNS,ATM,B.Raf_Caution,B.Raf_pS445,Bad_pS112,Bak_Caution,Bap1.c.4,Bax,Bcl.2,Bcl.xL,Beclin_Caution,beta.Catenin,beta.Catenin_pT41_S45,beta.Actin_Caution,Bid_Caution,Bim.CST2933.,Bim.EP1036.,BRCA2_Caution,c.Jun_pS73,c.Kit,c.Met_Caution,c.Met_pY1235,c.Myc_Caution,C.Raf.BD610151._Caution,C.Raf.MP05.739.,C.Raf_pS338,Caspase.7_cleavedD198_Caution,Caspase.8_Caution,Caveolin.1,CD20._Caution,CD31,CD49b,CDK1,Chk1_Caution,Chk1_pS345_Caution,Chk2,Chk2_pT68_Caution,cIAP_Caution,Claudin.7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,Cyclin_E2_Caution,Di.Ras3_Caution,DJ.1,Dvl3,E.Cadherin,eEF2_Caution,eEF2K,EGFR,EGFR_pY1068_Caution,EGFR_pY1173,eIF4E,eIF4G_Caution,ER.alpha,ER.alpha_pS118,ERCC1_Caution,ERK2_Caution,ETS.1,FASN,Fibronectin,FoxM1,FOXO3a_Caution,FOXO3a_pS318_S321_Caution,FRA1_Caution,G6PD,Gab2,GAPDH_Caution,GATA3,GSK.3.BETA_Caution,GSK3.alpha.beta,GSK3.alpha.beta_pS21_S9,GSK3_pS9,HER2,HER2_pY1248_Caution,HER3,HER3_pY1289_Caution,Heregulin,HSP70_Caution,IGFBP2,INPP4B,IRS1,JAK2,JNK_pT183_Y185,JNK2_Caution,Ku80_Caution,Lck,MAPK_pT202_Y204,MDM2_pS166,MDMX_MDM4.BetIHC.00108._Caution,MEK1,MEK1_pS217_S221,MIG.6,Mre11_Caution,MSH2,MSH6_Caution,mTOR,mTOR_pS2448_Caution,MYH11,Myosin.IIa.pS1943,N.Cadherin,N.Ras,NDRG1_pT346,NF.kB.p65_pS536_Caution,NF2_Caution,Notch1,P.Cadherin_Caution,p14.Arf.BetA300.340A._Caution,p21,p27,p27_pT157_Caution,p27_pT198,p38.alpha.MAPK,p38_MAPK,p38_pT180_Y182,p53_Caution,p62.Lck.ligand_Caution,p70S6K,p70S6K_pT389,p90RSK_Caution,p90RSK_pT359_S363_Caution,p90RSK_pT573_Caution,PAI.1,PARP_cleaved_Caution,Paxillin_Caution,PCNA_Caution,PDCD4_Caution,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K.p110.alpha_Caution,PI3K.p85,PKC.alpha,PKC.alpha_pS657_Caution,PKC.delta_pS664,PKC.pan_BetaII_pS660,Porin,PR,PRAS40_pT246,PRDX1,PREX1,PTEN,Rab25,Rad50,RAD51,Raptor,Rb_Caution,Rb_pS807_S811,RBM15,Rictor_Caution,Rictor_pT1135,RSK1.2.3_Caution,S6_pS235_S236,S6_pS240_S244,SCD1,SETD2_Caution,SF2,Shc_pY317,SHP.2_pY542_Caution,Smac_Caution,Smad1,Smad3,Smad4,Snail_Caution,Src,Src_pY416_Caution,Src_pY527,STAT3_Caution,STAT3_pY705,STAT5.alpha,Stathmin,Syk,TAZ,TFRC,TIGAR,Transglutaminase,TSC1_Caution,TTF1,Tuberin,Tuberin_pT1462,VAV1_Caution,VEGFR2,VHL_Caution,XBP1_Caution,XRCC1_Caution,YAP_Caution,YAP_pS127_Caution,YB.1,YB.1_pS102
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.268997,-0.060281,-0.137881,-0.398729,-0.095622,-0.533905,0.054245,-0.573022,-0.162968,-0.691478,-0.245375,0.495423,-0.277691,0.307272,-0.292745,-0.352944,-0.638833,-0.871482,-0.272339,-0.539644,-0.882534,0.289604,-0.332208,0.410749,0.171905,0.794286,0.364696,0.180617,-0.152416,0.399812,0.078653,0.57821,0.003209,0.205733,-4.186375,-0.037112,-1.754644,-0.320135,2.249114,1.871478,0.03932,0.656002,-0.296228,0.046062,-0.001437,1.320054,0.661384,0.334851,0.174268,3.649359,0.388001,-2.90427,-0.57619,0.049906,-1.131723,-0.183964,1.320093,0.520474,-0.012745,0.10583,0.784527,-0.610463,0.262841,0.684525,-0.113512,0.680296,0.135913,0.160448,0.34712,-0.344312,-1.145793,0.193368,1.157307,-1.825644,-0.547628,-0.024172,0.491686,0.546672,-0.174683,-0.116128,-0.325266,0.154611,0.701127,-0.139181,0.879069,0.518178,0.467406,0.137881,-0.478907,-0.429794,0.390062,-1.356087,2.228587,0.1092,0.069055,-0.182202,-0.338897,-2.105246,-0.727156,-0.25906,-0.038786,-0.306015,-0.01885,0.32021,-0.00926,-0.61496,-0.249626,0.529023,-0.092213,-0.11845,2.703253,-1.235414,-0.509447,-0.514167,0.781693,-0.061503,-0.24566,0.058161,0.79353,0.420582,-0.063389,-0.034372,0.355095,-0.674869,-0.738629,0.24581,-0.426199,0.567044,-0.015267,0.417788,-0.56325,-0.500313,0.002783,-0.199902,0.089088,0.308178,0.557993,0.667089,0.54656,-0.463369,0.077367,0.711345,-0.230318,0.401058,0.100532,-0.126012,3.356253,-0.18258,-0.247934,0.531337,-0.239361,-0.265914,-0.194196,-0.619014,-0.144659,0.505479,1.665425,0.115225,0.30884,0.028899,0.335607,0.044997,-0.01805,0.155407,0.155748,0.936101,0.599161,0.060479,0.264602,0.355944,0.08369,-0.918177,-2.299291,-0.058465,0.058346,0.144214,0.336314,-0.639303,-0.188454,-0.257789,0,-0.115289,-0.45679,0.447328,-0.126634,-0.438963,0.161393,-0.002643,0.322236,-0.952576,2.378049,-0.627405,0.778901,1.358316,2.346707,0.657147,-1.736436,-0.099573,0.857329,0.01363,-0.331983,-0.342393,-0.260483,-0.130782,-0.466919,5.47588,-0.561973,-0.500953,-0.261494,0.358679,-0.951686,-3.247388,-0.151424,-0.145426
NCIH1184_LUNG,-0.17581,0.209039,-0.280332,-0.116486,0.743276,0.2017,-0.162029,0.668588,-0.60139,0.861106,0.941392,0.398096,-0.033566,-0.242054,0.863387,2.647128,2.419881,-0.275872,0.074862,0.224292,-1.415097,-0.412934,2.21637,-0.059632,0.937375,0.735785,0.358463,-0.266996,0.095308,0.346014,0.415418,1.890009,-0.532312,-0.072027,-0.064385,-0.123452,-0.707339,-0.061076,0.449097,0.521745,-0.21817,0.050992,2.386017,-0.307666,0.038957,-0.127913,0.851203,0.335742,0.097994,-0.017444,-0.720314,-0.540019,-0.065161,0.145212,0.552927,-0.345116,0.732908,0.190061,-0.388834,-0.242659,0.010446,-0.321741,0.211358,0.141066,-0.477498,0.755128,0.362943,0.045958,-0.067634,0.409714,-0.224183,-0.619204,-1.145599,-1.307409,-0.689904,-0.028841,-0.173034,-0.075401,-0.120264,0.215986,-0.325928,0.010166,-0.511118,0.366172,0.489115,0.152911,0.031154,-0.085703,-0.759607,-0.311296,1.569794,-0.201712,-0.560903,1.378522,0.849391,0.695059,1.172929,-1.71142,-0.73765,-0.897531,0.056199,0.250068,0.223601,1.800731,0.143526,-0.289457,-0.425557,-0.288472,-0.558404,0.253355,-1.019509,0.342553,-0.228323,0.112022,-0.327007,-0.643238,-0.07363,0.024962,0.895713,1.242347,0.546834,0.222716,-0.005347,-1.165178,0.338395,-0.033402,-1.024578,-0.323528,-0.10842,-0.307321,-0.67818,0.902022,-0.489132,0.394187,0.114648,0.037341,0.181445,0.425134,-0.535371,-0.055854,-1.316597,0.485981,0.974496,0.000271,0.197556,0.121687,0.829918,0.180558,0.213839,0.501023,0.033992,-0.08334,0.046109,-0.127781,-0.322855,0.098091,-0.17186,-0.185346,0.09355,-0.33151,-0.640356,-0.151505,-0.075982,0.081957,-0.521104,0.649033,-1.897651,-0.210846,-0.171023,0.269574,0.523676,-0.774403,-0.915616,-0.017699,-0.133121,0.080255,0.070262,-0.765297,-0.306247,-0.12203,-0.026336,0.160641,-0.36733,0.523219,-0.030341,0.300865,-0.002275,0.457185,-0.035217,0.527719,0.408946,0.991369,0.860262,1.087049,0.277272,1.131317,3.676944,-0.492951,-0.772926,-0.297499,-0.34191,0.186397,2.091216,0.674201,0.824393,0.007993,-1.799055,0.306585,-0.390117,0.641981,-0.885458,-2.123514,-0.219558,-0.191496
NCIH2227_LUNG,0.189898,0.367337,-0.451941,0.454672,0.798026,1.286232,0.429965,1.337567,-0.252769,0.608333,0.136766,0.644134,-0.127373,-0.212039,1.19989,-0.393597,-0.171596,-0.475971,0.724928,0.356662,-2.401922,-0.520382,-0.421755,-0.266879,0.063976,1.149163,1.010839,0.22319,0.154805,0.265548,0.1863,0.217563,0.458463,-0.076647,0.616634,0.027915,-0.618017,0.060555,0.227452,0.196981,-0.265112,-0.296012,0.55704,-0.370176,0.022694,-0.686956,-0.210601,-0.398659,-0.041912,-0.194709,-0.226128,-3.982857,0.243481,-0.360265,-1.160105,-0.349815,0.272042,0.256495,0.060848,0.231652,-0.174613,-0.270047,-0.001862,0.349188,1.041754,1.304185,0.203343,-0.026363,0.41721,0.454847,-1.381816,0.757363,-0.065147,-1.119594,-0.803549,0.110767,-0.07636,-0.15511,-0.390475,0.351433,0.148689,1.052167,0.527974,-0.130505,-1.495718,-0.20574,-0.193344,0.218677,-0.697993,0.12987,2.30012,-0.115618,-0.564379,-0.195995,1.07679,1.073496,0.090263,-1.049502,-0.803785,-0.681768,0.20056,-0.087591,0.725581,2.369359,-0.249091,-0.31947,-0.037607,-0.170005,0.29274,0.006546,-0.794517,0.473918,1.136419,0.08822,0.202984,-0.541646,-0.03247,-0.175753,0.854719,1.893032,0.421289,0.242536,-0.31886,-0.843456,0.708419,-0.128738,-0.671485,-0.592142,-0.361032,-0.725837,0.54773,0.19462,-1.111022,0.22282,-0.149461,-0.312638,-0.133291,-0.114727,-0.582533,0.228792,-1.276382,-0.050379,0.334964,0.628011,0.10528,0.243253,-0.278324,0.002223,0.299094,0.262359,-0.224263,0.264496,0.226907,0.2377,1.135769,0.568602,0.642587,-0.873081,-1.23171,-0.312116,-0.103574,-0.074257,0.035465,0.036781,-0.109279,-0.305617,0.509801,-0.569511,-0.044874,0.152582,0.472629,-0.604683,0.144925,-0.144155,-0.183773,0.000133,0.776166,-1.124241,-0.610228,-0.288113,0.240195,-0.017085,-0.552434,-0.250697,0.659211,0.248372,0.190708,0.440808,-0.163991,0.243225,-0.010478,0.434634,0.40327,0.117145,0.356611,1.431187,-0.718235,-0.500612,0.17679,-0.254392,-0.385712,0.080488,0.927677,0.657864,0.076295,-0.284156,-1.746454,1.285533,-0.032822,0.018777,-1.436286,-3.002357,-0.039848,-0.272182
JHOS4_OVARY,0.100028,0.09303,-0.28601,0.166129,0.355644,-0.01189,-0.0896,0.151237,-0.025481,0.001567,-0.483711,-1.444637,-0.095347,0.247357,-0.753771,-0.203004,-0.240286,0.382262,0.339187,0.161543,-0.39831,0.539712,0.443577,0.969164,-0.529933,-1.353222,0.602135,0.065985,0.226888,-0.545151,-0.491799,0.383701,0.116624,-0.002142,0.07857,0.183825,-0.123056,0.391038,0.214389,0.412944,-0.123836,-0.518336,0.393898,-0.224611,0.076913,-0.789958,0.726111,0.769854,0.727974,0.295581,-0.02413,-1.108282,-0.036419,0.185796,-0.28878,-0.015808,0.036185,0.222933,-0.044206,0.217379,-0.362556,2.462558,0,-0.725442,0.10353,-0.1973,-0.015162,-0.043952,-0.213266,0.052316,2.045309,-0.520692,-1.071765,-0.465011,-0.161047,0.19709,0.222872,-1.273918,0.33541,0.034031,-0.138152,-0.276667,-0.505033,0.891897,1.900869,-1.251467,1.904071,0.279119,-0.60966,-0.405569,-0.25225,-1.952715,0.189767,0.30261,0.194513,0.545839,1.036233,-0.47215,0.034083,0.552967,0.006096,0.111412,-0.394975,1.8256,1.778781,-0.259728,-0.28964,0.130092,0.232263,-0.85586,-0.642917,0.76697,-0.852215,-0.525976,0.024109,-0.167794,0.079764,0.173071,0.2849,-0.145701,0.467515,0.154289,-0.061678,-0.151532,-0.064335,0.014082,-0.448406,-0.572883,-0.526717,-0.643345,0.363787,-0.24489,-0.498448,-0.324802,-0.174386,-0.056885,-0.002258,0.268687,0.371551,0.273924,0.493748,-0.693844,0.146356,0.689682,0.275399,0.953219,-0.336779,0.083119,-0.806638,0.134522,-0.2708,-0.371731,-0.311493,-0.114662,-0.526575,0.525408,-0.055057,-0.616236,-1.242909,-0.445713,0.040435,0.300895,0.371562,-0.355828,-0.644909,-0.46763,0.5918,1.627656,0.017034,0.404682,0.582032,0.508324,0.755106,-0.527111,-1.025939,-0.145446,0.995318,0.774305,0.221153,0.215155,0.002082,0.001084,0.090089,-0.200074,0.116677,0.195901,0.092879,0.213912,-0.140114,0.464662,-0.214273,-0.247113,-0.942106,-0.236925,-0.017109,0.035568,0.580715,-0.030137,-0.277443,-0.062757,0.205252,-0.241522,-0.287672,-0.391328,-0.137685,-0.345776,-0.928407,-0.670792,-0.132403,0.47637,0.899572,1.578562,-0.072424,0.362025
KLE_ENDOMETRIUM,-0.201106,-0.076385,-1.006647,-1.178997,-0.562539,-0.769737,-0.080243,0.467985,-0.51794,-0.01755,-0.366044,1.024669,-0.260015,0.334221,0.621159,0.468,-0.097217,0.305396,0.259176,0.261648,0.419505,-0.662224,-0.18679,-0.818448,-0.771592,-0.57185,-0.39921,-0.089788,0.115147,-0.064338,-0.552115,-0.14617,0.490616,0.056123,0.363404,-0.34811,-1.94135,0.102847,0.355003,0.377376,-0.204388,0.347835,-0.167674,-0.055876,0.06228,0.370129,-0.381773,-0.746371,0.007354,-0.069792,-0.254076,-2.688484,0.123062,-0.098875,-0.457406,-0.268857,-0.761912,0.162924,0.140251,0.042594,-0.526082,-0.13361,0.111735,0.467787,0.170581,1.586903,-0.178751,0.127168,0.045413,0.422405,1.716415,-0.448378,-0.671241,-0.007796,0.458462,0.026236,0.115416,0.205067,-0.223624,-0.003639,0.041379,-0.573655,-0.203113,-0.437812,2.87619,-0.41614,0.019787,0.044833,-0.857499,0.110906,0.776112,-1.537947,-0.790953,-0.278067,-0.739759,-0.473911,-0.041711,0.423255,0.342403,0.002252,0.169654,0.565683,-0.034156,3.259048,-0.069408,-0.421103,-0.401427,1.001747,0.151567,-0.303446,-0.474635,0.225496,0.711928,-0.424779,-0.425149,0.050098,-0.053027,0.107172,0.216438,0.112165,0.086604,0.167255,0.300059,0.332733,0.593264,-0.145924,-0.724322,0.339268,0.446555,0.783623,0.033734,2.870672,-0.304122,-0.029384,-0.110866,-0.110997,-0.311475,-0.820402,0.254006,0.379707,0.691456,-0.807807,-0.381102,0.388381,0.283111,0.772967,1.39416,0.320379,0.042764,-0.432906,-1.298262,-0.693697,-0.437215,0.094815,-0.035543,0.327207,0.29428,0.197309,0.605114,0.082446,0.170035,1.300418,0.200518,0.09648,0.038421,-0.041651,0.419939,-0.586556,-0.47258,-0.732212,0.034789,-0.262811,-0.63628,-0.075822,-0.168272,-0.100215,0.176697,-0.421491,-0.10763,0.511131,0.003238,-0.152177,0.169764,0.539387,0.443118,0.044038,0.095923,-0.012022,0.746213,-0.758421,-0.208529,-0.431717,-0.743429,-0.049029,0.731897,-0.034994,2.126412,0.298126,1.037928,-0.083052,-0.339068,-0.364355,0.103633,0.214631,-0.195677,-0.188334,0.266463,1.554107,-0.006502,-0.241165,0.124194,-0.344314,0.094969,0.329311
HS895T_FIBROBLAST,0.047899,-0.035052,-0.281262,-1.020758,-0.322265,-0.748701,-0.306906,0.050094,0.046009,-0.327393,-0.261457,-0.122974,0.010785,-0.145527,0.798581,-0.370918,-0.07184,0.115315,-0.135447,-0.411838,0.797054,-0.046811,1.060658,-0.383034,-0.271186,0.193382,0.044867,-0.098364,-0.093987,-0.535359,0.302684,-0.668164,0.120602,-0.074235,0.464035,0.001822,0.7091,0.065653,-2.110126,-1.077451,-0.137827,0.716632,1.355169,0.034374,0.09033,-0.923141,0.554335,0.71568,0.14752,-0.369501,0.001086,4.237909,-0.171302,-0.24962,1.979991,-0.235964,-0.319201,-0.321494,-0.663452,-0.147507,-0.138467,-0.245001,0.92726,-2.029406,0.915714,-0.03559,-0.360928,-0.004028,-0.350053,0.232273,-0.695627,0.326632,0.061826,0.448313,0.307621,-0.077882,0.036714,0.132379,-0.19417,0.007628,-0.122068,0.270367,-0.120412,-0.163313,4.006122,-1.352708,-0.254449,-0.116749,0.433193,0.583237,0.014564,0.302988,-0.053765,0.033559,-0.045972,0.261332,0.318314,-0.056652,0.243674,-0.442447,-0.037271,0.15491,-0.356623,-0.10032,0.060192,0.088474,0.35234,0.575696,0.118483,-0.380552,-0.881486,1.218449,-0.097534,0.080414,0.176023,0.471263,0.358709,-0.083136,-0.572348,-0.988632,-0.161091,0.11944,0.43285,1.547068,0.116552,-0.056553,-0.394365,0.535829,1.536776,0.063384,0.404707,-0.470564,1.199811,-0.392571,-0.181319,-0.065969,0.130963,-0.019102,0.988642,-0.523545,0.968084,-0.451845,0.317555,-0.66953,-0.153898,-0.158982,4.397688,-0.317209,0.523648,-0.751427,-0.391908,0.040547,0.205741,1.187895,0.074947,0.083049,-0.034671,1.248008,1.488028,0.093395,0.133208,0.076877,-0.34632,-0.108089,-0.223634,0.064235,0.67314,-0.419323,-0.510296,-1.078455,0.066252,-0.361413,-1.086265,-0.70512,-0.249499,0.058454,-1.698916,1.841286,1.116044,0.249589,-0.02229,-0.367554,0.034949,1.086167,-0.413631,-0.221357,0.564745,-0.109296,-0.04847,-0.1825,0.134584,0.407941,-0.212332,0.076221,-0.096889,-0.174238,-3.219481,0.239696,-0.057157,0.044221,0.263654,0.599367,-0.051464,0.625741,0.225576,-1.149144,-0.120661,-1.17668,0.266879,-0.378479,0.8189,1.500804,0.594964,0.556622
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.178437,-0.000373,-0.431747,-0.076868,0.12619,0.837456,0.093478,-0.365831,0.343446,0.007813,0.320329,-0.95747,0.142385,0.326787,-0.076016,-0.240999,0.024587,-0.757848,-0.250449,-1.222918,0.384371,0.396018,0.054761,0.5521,0.63914,0.782372,0.98814,-0.239102,-0.272244,0.251419,0.077212,1.568458,-0.754976,0.233572,-3.275963,-0.0389,-0.380298,0.086021,-0.23392,-0.204373,-0.030845,-0.326262,-0.328342,-0.075264,-0.027586,0.346023,0.304033,0.419099,0.447476,0.416854,0.180517,-2.585528,0.0747,0.149661,-0.658843,-0.0168,0.010114,0.074063,-0.06414,-0.019837,-0.272617,-0.224057,-0.157959,-0.792082,-0.291349,0.120266,0.110626,0.088874,0.0972,-0.054127,-0.22382,-0.284965,0.486706,-1.209798,-0.185239,-0.172626,0.086729,0.300064,0.168804,-0.209756,-0.034143,0.12729,0.094301,-0.394581,-0.778983,-0.113284,-0.000231,-0.097749,-0.415661,0.094997,0.429039,1.290375,0.303933,0.356886,0.191045,-0.388425,-0.350537,-1.21849,-0.464007,-0.368519,-0.158262,-0.170357,0.029415,2.068549,0.031813,0.032474,0.147486,-0.179926,-0.037177,-0.319024,0.239851,-0.671748,-0.727588,0.525998,0.260254,-0.281936,-0.218633,0.158204,0.168467,0.076367,-0.564688,-0.170843,-0.209194,1.003426,-0.581665,0.264921,0.035415,-0.212685,-0.151786,0.065452,0.244196,1.668382,0.257744,0.174589,0.039728,0.126694,0.615283,0.895029,-0.204223,0.638791,-0.61678,0.227312,-0.064672,0.375719,-0.037809,-0.724372,-0.58031,0.184893,-0.696749,0.392004,1.369542,0.259591,0.321352,-0.293361,-0.443506,-0.091847,1.567965,0.316481,0.481648,0.248432,0.898052,-0.157017,0.070302,-0.271301,-0.077024,0.772898,-2.584602,-0.27578,0.109619,0.647372,-0.624896,1.192766,1.626977,-0.071245,-0.762853,-0.009271,0.514303,-1.320695,-1.127789,0.251116,-0.127387,0.171029,-0.27752,-0.629437,-0.489483,-0.143177,-0.218413,0.269486,0.075941,-0.962235,-0.258678,-0.665191,-0.617657,-0.364506,1.155271,0.502221,4.649313,-0.351159,-1.416802,-0.256248,-0.324697,0.008906,-0.666403,-0.327962,0.084351,5.698008,-0.89571,-1.455629,-0.018812,0.215318,-0.725484,-2.348952,-0.016037,-0.696894
SF126_CENTRAL_NERVOUS_SYSTEM,0.034,-0.292867,-0.476816,0.078385,0.621033,0.73544,0.279139,0.171837,-0.287009,-0.208027,0.042072,0.673081,0.009681,-0.490942,0.435016,2.40131,1.06525,0.308066,-0.212053,0.137589,0.303507,0.384927,0.971516,0.04465,0.07874,-0.272561,-0.023225,0.142845,0.036752,-0.314499,-0.556061,-0.504802,-0.575486,-0.039095,0.447957,0.106298,0.55807,-0.217037,-0.813058,-0.650124,0.126459,0.812779,-0.381836,0.010198,-0.081132,-0.47993,0.048902,0.255237,-0.03274,-0.565795,-0.301159,2.689466,-0.204009,-0.300257,0.106183,-0.175711,-0.11828,-0.258593,-0.280364,-0.21067,-0.018144,-0.796703,0.53518,-0.202572,-0.276685,-0.488852,-0.06466,-0.045987,-0.293148,0.611666,-0.466397,-0.059047,0.415176,0.532545,0.503121,-0.109343,0.098242,0.679581,-0.16736,-0.052879,-0.258163,-0.100443,-0.042585,-0.40236,2.099719,0.028066,0.253051,-0.085393,0.253686,1.148972,-1.490585,0.003325,-0.029653,-0.042929,-0.098258,0.567179,0.721468,-1.322767,-0.465492,-0.327501,-0.186628,0.820924,-0.055379,-0.439777,-0.026025,0.022517,-0.225223,0.717242,-0.13314,0.137219,-0.749073,0.406839,-0.007853,-0.11915,0.34475,0.293315,0.496803,-0.110411,-0.066259,-0.191501,0.358115,0.401167,0.474472,1.123337,0.398814,0.063652,0.129531,0.846474,0.484256,0.434353,-0.098774,-0.82392,1.5719,-0.393864,-0.025381,0.14054,-0.026098,0.060704,1.136221,-0.116044,0.358249,-0.092178,0.922343,-0.211281,-0.124163,0.252626,3.092154,-0.287525,0.662705,-0.370806,-0.367825,0.040484,0.016616,0.622931,0.008837,-0.208154,-0.292179,0.618253,1.066211,-0.085816,0.084761,-0.063216,-0.003496,0.602417,-0.065112,0.124632,-0.516698,-0.373903,-0.536219,0.054268,-0.229278,-0.714681,-1.50768,-0.641759,0.597639,0.212118,-0.133009,1.509854,0.573126,0.002839,0.839336,-0.291458,-0.268434,-0.060541,-0.599553,0.05836,0.126855,0.219832,1.100157,-0.495532,-0.182287,0.044359,0.513125,0.215684,-0.760714,-0.005324,-2.596142,0.815266,-0.877436,-0.103833,0.700665,0.027107,-0.077008,0.218736,0.0596,-0.669624,0.940061,-1.430308,-0.076476,-0.007192,0.818775,1.520319,0.257421,0.353144
SW1990_PANCREAS,0.165922,-0.005254,-0.002394,-0.14131,-0.452635,-0.41519,-0.26418,-0.08545,0.049047,0.565818,0.933381,-0.25691,-0.109507,0.042721,-0.200772,-0.87968,-0.421758,0.550969,-0.374566,-0.568602,-0.276467,0.050745,-0.380533,0.450348,0.785231,-0.653473,-0.105293,-0.253983,0.255447,-0.249289,0.278155,-0.321864,0.595598,-0.128603,0.542589,0.100696,0.181024,0.147036,-0.214477,-0.102429,0.307721,-0.466535,-0.121714,0.078883,0.19973,-0.165249,-0.611451,-0.082503,0.043337,-0.034762,0.20863,4.811703,0.112149,-0.118594,1.256767,-0.192391,-0.63534,0.086611,0.054302,0.388011,-0.294163,1.347853,0.258575,0.064178,0.176208,-0.374099,-0.169387,0.139218,-0.653965,-0.187417,3.563029,0.029874,0.244368,0.978905,0.77011,0.202612,-0.080845,-0.206571,-0.23189,0.093802,-0.056144,-0.079917,0.330639,-0.398706,-0.596825,0.035473,-0.106873,-0.107706,1.048529,0.883295,-0.010767,0.692829,0.127639,-0.28702,-0.255891,-0.806029,-0.476386,0.731568,0.368588,0.415874,0.097427,0.301022,0.276259,-0.753396,0.125045,0.601437,0.136788,0.311788,0.325138,0.363201,0.095578,-1.170131,0.019957,-0.13675,-0.124223,-0.200819,0.720132,-0.025644,0.013275,0.423515,-0.155605,-0.080272,0.158451,1.026741,-0.093085,-0.125222,-1.296482,0.10485,0.896665,0.317379,0.06423,-0.604526,0.382919,0.099554,-0.176591,-0.131668,-0.209182,-0.34328,0.30047,1.96983,0.028143,-0.089217,0.649171,0.218488,-0.063958,-0.707681,1.206718,-0.007107,0.071627,0.2647,-1.176184,0.279486,0.40068,0.08122,0.042234,-0.038713,-0.395969,-0.533421,-0.575701,-0.264981,-0.988809,-0.249322,0.051232,-0.209282,-0.051361,0.535127,-0.271503,0.147015,-0.160362,-0.273954,0.472491,0.212655,-0.030103,-0.095306,-0.459279,-0.029008,-0.01184,-0.796218,-0.539847,-0.175675,1.389488,0.023872,0.116198,0.292258,-0.272061,-0.162696,0.196493,-0.158223,0.020488,-0.891084,-0.300522,-1.46639,-0.096615,0.104952,0.369564,0.062105,-2.255302,0.096572,0.245666,-0.147967,4.493356,0.106484,-0.019248,-0.406469,-0.410698,4.407954,1.6474,1.74332,0.232663,0.329843,0.176338,0.707384,0.286863,-0.078127
HS940T_FIBROBLAST,0.002571,-0.040409,-0.136061,-0.626318,-0.292707,-0.39911,-0.238246,-0.247603,0.068564,-0.742291,-0.252377,0.541676,0.102634,-0.041826,0.693159,-0.847663,-0.311344,-0.019853,-0.072353,-0.294629,0.58748,0.151863,0.672967,-0.026958,0.316169,-0.580481,-0.087924,-0.208496,0.02213,-1.306764,0.225347,-0.596185,-0.117941,0.110841,0.28814,0.053249,0.511944,0.015914,-1.678465,-1.1181,-0.07743,0.340131,3.254013,-0.103841,0.051331,-0.601584,0.086606,-0.059191,0.006451,-0.402367,-0.033079,4.694206,-0.057641,0.012105,0.405543,-0.143656,-0.058982,-0.196721,-0.604581,-0.063826,-0.141688,-0.186636,1.062611,-1.347476,0.730678,-0.031632,-0.191389,0.042673,0.047629,0.006982,-0.558519,-0.291077,0.001517,0,0.284206,-0.069481,-0.174614,0.48641,0.006526,0.034521,-0.035025,0.281855,-0.160383,-0.364108,4.488749,-1.066578,-0.381927,-0.051963,0,0.498525,-0.548892,0.659361,0.127085,0.55763,0.080488,0.058745,0.302778,-0.279748,0.122689,-0.190396,0.040507,0.146664,-0.189913,1.018992,0.675765,-0.268741,0.248949,0.67718,0.096363,-0.713148,-0.783283,1.72071,-0.422204,-0.054319,0.002129,0.78859,-0.025854,0.009388,-0.686857,-0.921151,-0.024906,0.087054,1.189564,1.725057,0.028039,-0.072471,0.150012,0.927516,0.805335,0.722311,0.652894,-0.986609,1.785147,-0.084008,-0.082222,0.068131,0.14251,0.044758,0.62376,-0.512694,0.968441,-0.496841,0.316555,-0.888173,-0.197726,0.033002,5.563057,-0.047041,0.760146,-0.532701,-0.537755,-0.04629,0.019157,0.883872,-0.153694,-0.01995,0.074506,1.103434,1.614555,0.139395,-0.014739,0.631704,-0.037467,-0.234419,-0.312044,0.208731,0.420394,-0.345285,-0.26395,-1.16016,0.038945,-0.295703,-1.111246,-0.323927,-0.213676,0.148996,-1.803574,1.288445,0.801599,-0.028548,-0.172354,-0.214727,-0.003852,1.262408,-0.410956,-0.208976,0.126507,-0.065452,-0.015821,-0.030768,0.280335,0.43523,0.327803,0.271961,0.049745,-0.143076,-3.245051,0.418131,0.406878,0.194278,0.114318,0.462537,-0.352256,0.299718,0.143636,-0.799974,0.657094,-1.024001,0.189187,-0.179083,0.773104,1.528727,0.477682,0.209713
