X,X14.3.3_beta,X14.3.3_epsilon_Caution,X14.3.3_zeta,X4E.BP1,X4E.BP1_pS65,X4E.BP1_pT37_T46,X4E.BP1_pT70,X53BP1,A.Raf_pS299_Caution,ACC_pS79,ACC1_Caution,Acetyl.a.Tubulin..Lys40._Caution,ACVRL1_Caution,ADAR1,Akt,Akt_pS473,Akt_pT308,alpha.Catenin,AMPK_alpha_Caution,AMPK_pT172,Annexin.1,Annexin_VII,AR,ASNS,ATM,B.Raf_Caution,B.Raf_pS445,Bad_pS112,Bak_Caution,Bap1.c.4,Bax,Bcl.2,Bcl.xL,Beclin_Caution,beta.Catenin,beta.Catenin_pT41_S45,beta.Actin_Caution,Bid_Caution,Bim.CST2933.,Bim.EP1036.,BRCA2_Caution,c.Jun_pS73,c.Kit,c.Met_Caution,c.Met_pY1235,c.Myc_Caution,C.Raf.BD610151._Caution,C.Raf.MP05.739.,C.Raf_pS338,Caspase.7_cleavedD198_Caution,Caspase.8_Caution,Caveolin.1,CD20._Caution,CD31,CD49b,CDK1,Chk1_Caution,Chk1_pS345_Caution,Chk2,Chk2_pT68_Caution,cIAP_Caution,Claudin.7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,Cyclin_E2_Caution,Di.Ras3_Caution,DJ.1,Dvl3,E.Cadherin,eEF2_Caution,eEF2K,EGFR,EGFR_pY1068_Caution,EGFR_pY1173,eIF4E,eIF4G_Caution,ER.alpha,ER.alpha_pS118,ERCC1_Caution,ERK2_Caution,ETS.1,FASN,Fibronectin,FoxM1,FOXO3a_Caution,FOXO3a_pS318_S321_Caution,FRA1_Caution,G6PD,Gab2,GAPDH_Caution,GATA3,GSK.3.BETA_Caution,GSK3.alpha.beta,GSK3.alpha.beta_pS21_S9,GSK3_pS9,HER2,HER2_pY1248_Caution,HER3,HER3_pY1289_Caution,Heregulin,HSP70_Caution,IGFBP2,INPP4B,IRS1,JAK2,JNK_pT183_Y185,JNK2_Caution,Ku80_Caution,Lck,MAPK_pT202_Y204,MDM2_pS166,MDMX_MDM4.BetIHC.00108._Caution,MEK1,MEK1_pS217_S221,MIG.6,Mre11_Caution,MSH2,MSH6_Caution,mTOR,mTOR_pS2448_Caution,MYH11,Myosin.IIa.pS1943,N.Cadherin,N.Ras,NDRG1_pT346,NF.kB.p65_pS536_Caution,NF2_Caution,Notch1,P.Cadherin_Caution,p14.Arf.BetA300.340A._Caution,p21,p27,p27_pT157_Caution,p27_pT198,p38.alpha.MAPK,p38_MAPK,p38_pT180_Y182,p53_Caution,p62.Lck.ligand_Caution,p70S6K,p70S6K_pT389,p90RSK_Caution,p90RSK_pT359_S363_Caution,p90RSK_pT573_Caution,PAI.1,PARP_cleaved_Caution,Paxillin_Caution,PCNA_Caution,PDCD4_Caution,PDK1,PDK1_pS241,PEA15,PEA15_pS116,PI3K.p110.alpha_Caution,PI3K.p85,PKC.alpha,PKC.alpha_pS657_Caution,PKC.delta_pS664,PKC.pan_BetaII_pS660,Porin,PR,PRAS40_pT246,PRDX1,PREX1,PTEN,Rab25,Rad50,RAD51,Raptor,Rb_Caution,Rb_pS807_S811,RBM15,Rictor_Caution,Rictor_pT1135,RSK1.2.3_Caution,S6_pS235_S236,S6_pS240_S244,SCD1,SETD2_Caution,SF2,Shc_pY317,SHP.2_pY542_Caution,Smac_Caution,Smad1,Smad3,Smad4,Snail_Caution,Src,Src_pY416_Caution,Src_pY527,STAT3_Caution,STAT3_pY705,STAT5.alpha,Stathmin,Syk,TAZ,TFRC,TIGAR,Transglutaminase,TSC1_Caution,TTF1,Tuberin,Tuberin_pT1462,VAV1_Caution,VEGFR2,VHL_Caution,XBP1_Caution,XRCC1_Caution,YAP_Caution,YAP_pS127_Caution,YB.1,YB.1_pS102
KYSE410_OESOPHAGUS,0.097555,-0.111648,0.360958,0.003448,0.067398,-0.131032,0.063901,0.356625,0.206854,0.609236,1.646907,0.352672,0.277717,0.028454,-0.263832,1.017313,0.445682,0.35673,0.011226,-0.489942,0.435763,-0.365317,0.490656,0.130919,0.281443,-0.082454,-0.001623,-0.227676,0.081534,0.040568,-0.568378,-0.025963,-0.421941,-0.134799,-0.125403,-0.043845,0.831374,-0.020057,-0.558328,-0.312694,0.427736,-0.324064,0.150539,0.375983,0.030097,0.400616,0.706362,0.589786,0.384618,-0.189679,-0.166236,1.578633,-0.008098,-0.017493,1.088824,-0.304385,0.877408,-0.198939,-0.158219,-0.13019,0.575184,1.806876,-0.549851,1.163601,-0.480006,-1.195466,-0.048919,0.078519,-0.38877,0.534214,3.288112,-0.082732,0.558702,0.593887,0.986693,0.083375,-0.056442,0.765232,-0.115597,-0.024103,-0.201208,-0.32578,-0.044497,0.807687,0.308965,0.958149,0.547579,-0.31316,-0.029176,0.155061,-1.343192,-0.953129,2.35868,0.027873,0.047394,-0.796871,-0.900391,4.696956,3.385284,0.825192,0.669652,1.142933,0.409915,-0.186525,0.138769,0.461906,-0.204399,-0.351681,-0.317865,0.026881,-0.071736,-0.213777,-0.467407,-0.128856,0.052888,-0.085933,0.2453,0.022173,0.524565,0.412868,0.049003,-0.260984,0.024345,-0.141216,0.022396,-0.07306,-0.320252,-0.520943,-0.030878,0.232086,0.362804,3.904371,-0.421081,-0.049112,0.062916,0.102324,-0.174713,-0.201297,-0.429326,0.759389,0.80632,-0.042183,-0.065302,0.017601,-0.104654,-0.500609,1.884806,-0.151767,0.276082,-0.107874,-0.865051,-0.023015,0.064168,-0.182306,-0.150605,0.047986,-0.226277,-0.157773,-0.27889,0.006317,-0.280878,-2.375703,0.020851,0.215873,-0.217583,-0.328985,-0.371339,0.357281,0.093138,0.222651,-0.208925,0.196896,0.367716,-0.310027,0.134154,-0.237411,0.14899,0.064802,0.380164,0.362658,0.283443,0.31794,0.044297,-0.295656,-0.597796,-0.005759,-0.138647,-0.264168,-0.067152,0.783235,-0.365741,0.137347,-0.004937,-0.14829,-1.090607,-0.082252,1.070333,0.193071,-0.998125,-0.287051,0.644545,-0.063533,-0.358859,-0.415405,-0.62609,-0.029417,1.065277,2.069191,-0.237807,0.098376,1.399718,2.143184,-0.035545,0.052957
NCIH810_LUNG,0.572395,0.315924,-0.012134,-0.327206,0.253662,0.077456,-0.40076,0.479664,-0.375613,1.325559,0.83457,0.488724,-0.121562,0.516469,0.76666,-0.069904,-0.458653,-0.267734,0.444651,0.309484,-1.115673,-0.305186,0.402832,0.34342,-0.180839,-0.559814,0.172546,-0.296961,0.471165,0.133259,1.277056,-0.134468,1.285703,-0.066881,0.103988,0.448917,-0.075581,0.479731,0.63181,1.149724,0.149603,-0.303602,2.44312,-0.069149,0.260061,0.92259,0.008621,-0.0674,-0.082986,0.516196,-0.316934,-2.880618,-0.133203,0.261022,-0.666603,0.370452,0.278167,0.646735,0.746568,1.204706,-0.188768,2.32091,0.021833,0.309148,0.371132,1.142057,-0.399487,-0.250649,-0.314116,0.389421,2.063471,0.592783,-0.262836,-0.866409,-0.207394,0.505445,-0.104368,-2.232959,0.393679,1.042534,0.381339,0.099403,-0.250973,1.261739,-0.154131,0.92662,-0.1853,0.107677,0.11321,-0.736899,1.096908,0.924723,0.690324,0.167374,0.785842,-0.745155,-0.795422,0.102824,-0.883812,0.282712,0.242846,0.154443,-0.09813,2.582097,-0.166742,-0.132282,-0.229287,0.701688,0.403993,-0.312585,-0.189968,0.072771,-0.112048,-0.125113,0.35722,-0.054838,-0.032106,-0.163888,-0.296903,0.903757,0.666499,0.388047,-0.708613,-3.553197,0.454288,-0.003351,0.323484,-0.418222,-0.293993,-0.601156,-0.131733,1.086147,-0.42276,-0.199095,0.338468,0.150537,-0.352184,-0.062287,1.010654,-1.206097,-0.630348,0.068075,-0.264008,-0.145352,-0.273829,-0.500024,-1.350307,0.508681,-1.028572,-0.512076,-0.74674,-0.158583,-0.342554,0.046008,0.549655,0.284004,-0.223279,-0.917295,-1.898977,-0.26816,-0.743564,-0.127639,1.52476,0.287825,-0.199577,-0.581835,-0.00394,1.058948,0.048975,-0.47157,0.16461,0.126838,0.058977,0.127751,0.212499,0.306926,-0.242878,0.18276,0.87259,0.300235,-0.368544,0.390856,-0.399251,-0.706128,1.424053,0.265006,-0.414606,0.051545,-0.070402,0.11918,-0.62881,0.404941,-0.615609,-0.112363,-0.90057,0.120719,-0.193478,-0.139324,-0.869155,0.128281,-0.142938,-0.341146,0.472801,0.478464,0.134133,-0.252696,-0.671849,0.352254,-0.309895,0.293241,-1.42495,-2.986321,0.160348,-0.364005
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.160747,-0.071044,0.062536,-1.380768,-0.829935,-1.338746,-1.112947,0.813729,-0.003147,0.201309,-0.26768,-0.743988,-0.110216,0.506157,-0.006204,0.563942,0.207958,-0.648244,0.113476,0.687254,-1.328439,-0.080555,-0.3461,1.030145,-0.62443,0.66485,-0.068768,0.105983,0.087142,0.355686,0.740389,1.357638,0.881108,0.061245,-2.654081,-0.276173,0.026615,0.064833,3.201609,2.603561,-0.321391,0.420203,-0.018499,-0.272888,-0.01759,-0.079465,-0.289852,-0.415788,-0.021922,0.150093,-0.179391,-3.451211,-0.08154,1.958562,-1.026629,-0.045831,0.554217,0.54237,-0.417921,-0.012901,-0.282661,-0.724001,0.170835,0.567154,0.757191,0.92275,-0.273543,-0.02782,0.355669,0.27644,-1.390361,0.056404,0.222815,-1.117943,-0.842823,-0.01387,0.13675,0.084848,-0.395615,0.042835,0.06957,-0.204653,0.549113,0.22472,-0.740994,-0.607863,0.324526,0.035766,-0.554823,0.12996,3.212307,0.178966,2.430388,-0.638464,0.175489,-0.328551,-0.371087,-1.174168,-0.751748,-0.542527,0.113173,-0.174746,-0.105103,-0.915311,-0.249757,-0.43087,1.901812,0.981083,1.116502,0.32017,0.309028,-1.500415,0.047628,0.138014,0.635255,-0.650397,-0.047392,-0.115802,0.443619,1.067738,-0.278995,0.260753,0.028677,-0.406008,-0.328737,-0.128983,-1.601577,0.609646,-0.265528,-0.768552,-0.504054,4.287441,0.663155,0.225123,-0.11901,0.455426,0.472513,0.844095,0.181218,-0.214924,0.208293,0.328409,0.823877,0.842298,0.053193,-1.338416,-0.84812,0.404774,-1.768437,0.193496,-0.561626,0.24165,0.441109,0.379307,-0.128314,0.282796,1.470933,1.596615,1.532615,0.46516,0.623932,0.015777,-0.245227,-0.370272,-0.032899,-0.721119,1.724188,-0.251254,0.005471,-0.12528,0.320603,0.196888,0.386534,0.508084,-0.577677,0.039435,1.191863,-0.960769,-0.549797,-0.241634,-0.166577,0.265769,-0.76551,-0.669689,-0.087798,0.011322,-0.366388,-0.027338,-0.20896,-1.232687,0.02525,-1.878899,0.068239,-0.105332,3.73304,0.0914,-2.168014,0.064854,-0.4218,0.026169,-0.491186,-0.399138,-0.054873,0.135465,0.289543,4.577972,-0.515831,-2.466165,0.261092,-0.148482,-1.172476,-2.901156,-0.284033,-0.560166
DANG_PANCREAS,0.200491,-0.199373,0.519289,1.81704,2.288786,2.395812,1.393155,-0.315418,0.429474,0.554084,1.316248,-0.473771,0.129174,-0.437957,0.131801,0.486275,-0.007934,0.511693,-0.148829,-0.675435,2.699914,0.253117,-0.112058,-0.388169,0.483363,-0.602654,0.11915,-0.097397,-0.107998,-0.11706,-0.054194,-0.350487,-0.275852,0.18193,0.340087,-0.099588,0.77466,0.018389,-0.793776,-0.253344,0.374895,-0.261966,-0.050394,0.306063,-0.018257,0.52886,0.490188,0.303025,0.283651,-0.237939,0.716286,3.108057,-0.179336,0.057982,1.866098,-0.256808,1.429824,0.165574,0.169634,0.487686,0.2062,1.875963,-0.487371,1.02501,-0.552686,0.305434,-0.099785,-0.05704,-0.077084,-0.085797,3.380511,-0.245617,0.65222,0.199942,-0.235829,-0.060612,-0.142003,0.468931,0.109411,-0.026018,-0.241227,0.149567,0.305383,0.493701,-0.065663,0.701386,0.508834,0.037206,1.701422,0.086657,-0.12616,-1.548381,-0.488216,0.811463,0.257505,-0.259101,-0.103615,0.016991,-0.305626,-0.07732,-0.110959,0.038877,-0.004791,-0.711693,-0.135577,-0.243534,-0.006412,-0.372686,-0.337096,-0.135973,0.703939,-0.059175,-0.101075,-0.260348,0.43477,0.455461,-0.122664,0.004869,0.296169,-0.058651,0.108601,0.082827,0.077891,0.343799,-0.325053,0.014823,0.418616,-0.235947,-0.200204,0.030467,0.521048,-0.817756,-0.373537,-0.0984,-0.024972,0.132093,0.176514,0.500388,-0.405029,-0.161365,0.132468,0.003576,-0.114461,0.640499,0.21529,-0.134069,1.304354,-0.1004,0.35351,-0.088946,-1.389675,-0.264875,-0.244742,-0.014459,-0.17998,0.24528,0.222846,-0.050994,-0.057661,-0.133758,-0.275042,-2.193345,-0.025094,0.03136,-0.275245,0.245214,-0.042441,0.918485,-0.283688,0.120017,-0.276507,0.2225,1.063132,-0.442079,-0.170375,-0.007678,1.173233,1.533007,1.726351,-0.129614,-0.143762,0.206341,0.145007,-0.245264,-0.504908,0.113736,-0.126102,-0.27723,-0.10835,0.818082,-0.352488,0.446644,0.846529,0.058688,0.474852,-0.13007,4.054831,0.230372,-0.662467,-0.282304,0.178727,0.28978,-0.377544,-0.159441,-0.540352,4.924506,1.687817,3.270972,-0.175556,-0.070025,0.393093,0.572778,-0.187002,0.147041
NCIH460_LUNG,0.023681,0.067874,-0.117297,-0.03299,-0.759737,-0.634732,-0.019629,-0.455226,-0.0619,-0.926672,0.088112,0.482196,0.251329,0.064037,-0.686568,-0.484241,2.00633,0.645685,0.958999,-1.551052,-0.230455,0.714825,0.788568,0.420554,0.173549,-0.773153,-0.519494,-0.087195,0.857216,-0.715679,-0.12981,0.535173,0.531083,0.11139,0.575908,-0.006083,0.851325,0.502086,-0.603973,-0.257476,0.585898,0.323902,-0.207248,-0.051546,0.15582,-0.041315,-1.535831,-0.810435,-0.030404,2.434625,0.138766,3.782546,0.110602,0.11612,-0.384903,1.360461,-0.104813,-0.032134,-0.156497,0.114114,0.241447,0.280172,0.207263,-0.537908,0.075322,-0.258521,-0.201171,0.068017,0.024212,-0.663153,-0.314424,0.857351,-1.387561,0.283307,-0.204691,0.200246,0.113492,-2.389555,0.095951,0.157208,0.24447,-0.235373,0.719088,0.278032,3.630985,-1.485368,-0.223011,-0.171359,0.080336,3.16847,-1.737194,0.409556,-0.154474,-1.738895,-0.500166,-1.159194,-1.089942,0.769323,-0.189222,-0.227199,0.381866,0.566972,0.099683,1.25179,-1.024263,-0.34703,0.124568,0.136624,0.04347,-1.081281,0.324112,0.549758,-0.353391,0.766813,-0.250984,0.781524,-0.021556,0.075637,-0.089088,-0.500305,-0.226012,-0.031102,0.853451,0.136347,0.467752,-0.046225,-0.399747,-0.907241,-0.02766,-0.15898,0.659773,-0.706649,0.472362,0.040983,0.014656,0.38674,-0.100029,-0.459308,-0.86973,-0.055768,1.305546,-0.416053,-0.400223,-0.57861,0.091738,0.111751,-0.166384,0.2463,-0.570124,0.141034,0.294627,-0.128531,-0.491118,0.045215,1.885609,-0.633844,0.242136,0.341861,0.381896,0.133568,-0.451128,0.627845,-0.207369,-0.248347,1.03925,-0.236727,1.420288,-0.08489,0.512619,-1.090105,0.037199,-0.265118,-1.444644,0.40481,-0.471021,-0.244289,-0.816165,-0.897744,-0.883797,0.246506,-0.154812,-0.036397,-0.108873,-0.540928,0.932116,-0.149175,-0.280598,-0.141055,-0.114279,0.883773,0.082644,0.726075,0.285214,0.002322,-1.31216,-0.131178,-2.707389,0.446065,1.167166,0.125237,0.097356,-0.562534,1.455852,-0.604344,-0.08916,-0.470626,1.87701,0.37365,0.25268,0.168011,-0.147937,-0.221774,0.289415,0.380079
KYSE140_OESOPHAGUS,-0.223418,-0.015686,-0.055371,0.517256,0.240858,0.231627,0.464693,-0.118187,0.271607,0.406599,0.968352,0.962378,0.102316,-0.126435,-0.108985,2.008616,1.361304,0.767873,-0.141201,-0.174495,0.176553,-0.099305,-0.145855,0.737359,-0.000427,0.008539,-0.178214,-0.331395,-0.001788,0.357965,-0.604491,0.479928,-0.465119,0.105914,0.26127,0.035818,0.682702,-0.10667,-0.876601,-0.410791,-0.057176,-0.245868,1.060876,0.091463,0.030714,0.118808,0.603963,0.226988,0.10686,-0.310271,-0.138787,2.515552,-0.054902,0.243403,1.489687,-0.091373,0.614442,-0.062444,-1.529172,-0.320156,-0.086641,2.050706,-0.487937,1.079916,-0.531405,0.623401,0.310735,0.255082,-0.390897,0.429683,3.490638,-0.108267,-0.135746,1.673614,0.373285,0.054689,-0.453054,0.218507,0.140066,-0.085125,0.023554,-0.074702,-0.506359,0.182392,-0.833489,0.754637,-0.063207,-0.274077,-0.112172,-0.282345,-1.064738,-0.593637,-0.408582,0.33655,0.100278,-0.725431,-0.588096,-0.156973,-0.120849,0.289812,0.218528,1.403068,0.139441,2.877359,0.335815,-0.354064,-0.139524,-0.305104,-0.851171,0.038096,-0.074965,-0.128682,0.1871,-0.057561,-0.41697,-0.354892,-0.264781,0.110022,0.59555,0.510748,0.07587,-0.232286,-0.172397,-0.556978,0.111283,0.141882,-0.217103,-0.778755,-0.308722,0.683258,0.962318,-0.66349,-0.512461,0.083511,0.126557,0.134746,-0.127582,-0.271506,-0.014884,1.376425,0.581702,-0.117853,-0.54463,0.103754,0.010001,-0.127872,0.412396,0.164883,-0.459147,-0.106738,-0.4486,0.157069,0.193267,-0.527535,-0.273215,0.48298,0.21302,-0.11139,0.002006,-0.108399,-0.644568,-1.51231,0.133854,-0.316473,0.218967,0.12192,-0.446065,0.865467,0.031422,0.469054,-0.296696,0.50393,1.082268,-0.230406,0.187067,-0.246384,0.405811,0.592116,0.684105,0.583859,-0.011284,0.266599,0.314739,-0.040332,-2.106893,-0.00415,-0.246223,-0.145618,0.017176,0.084883,-0.59593,-0.39769,-0.030137,-0.345431,-1.267197,0.003326,2.37933,-0.330078,0.044787,-0.027776,-0.211731,-0.096755,-0.017637,-0.151266,-0.399237,0.384644,-0.626493,3.978435,0.027755,0.204382,0.20426,-0.507614,-0.060991,0.044797
HCC2218_BREAST,0.167035,0.008118,0.551498,0.22417,-0.369129,-1.031491,-0.202695,-0.461022,0.694432,0.627465,0.693592,-0.052637,0.313758,0.747205,0.681813,-0.424755,-0.555926,-0.347248,0.011807,-0.066712,-1.114272,0.001377,2.407439,-0.103638,-0.611002,0.289677,0.233551,-0.405137,-0.109589,-0.378491,-0.397401,0.151982,-0.484535,0.186247,-2.687939,-0.091888,0.171865,-0.046265,-0.388106,-0.154107,-0.033162,-0.172565,0.418997,0.09945,0.036757,-0.231034,0.007685,-0.236137,0.03137,-0.090207,0.051289,-2.647282,0.061404,0.535741,0.263226,0.021756,-0.092263,-0.391518,-0.409003,-0.193742,0.178435,2.79999,-0.430322,-0.164314,-0.387903,0.458963,0.23548,0.310346,-0.400089,-0.551782,0.717818,-0.361606,-0.264244,-0.350389,2.822702,-0.036018,0.533265,-0.037416,0.553537,0.041549,0.152262,-0.557217,-0.322485,2.200282,-0.636678,-0.445201,0.24994,-0.018653,-0.682615,0.074282,-0.408968,-0.719976,2.69856,-0.3064,-0.111167,-0.774926,-1.164783,5.42174,4.293075,1.83098,1.268191,0.026663,0.200259,2.710254,0.528887,0.616501,-0.363267,0.037082,0.554831,-0.220385,-0.83806,-0.128963,-0.434314,0.584089,-0.366253,-0.936236,-0.256989,0.169607,-0.301484,-1.004275,0.26621,0.219283,-0.262082,-0.871898,-0.275598,0.190277,-0.749527,-1.212613,0.195459,0.639397,-0.310202,-0.408362,0.161759,0.55031,0.346314,0.062878,0.207722,0.270182,-0.168119,0.090819,0.344585,2.555589,0.534193,-0.306266,-0.236558,-0.313704,-0.425591,0.279467,-0.583423,-0.195548,0.063813,0.720748,0.729677,-0.102992,-0.189072,-0.263001,-0.191569,-0.568218,-0.612347,0.136681,-0.56361,-0.744072,0.214927,-0.686348,0.455301,1.865283,0.723705,1.49345,-0.16408,0.061885,0.110113,-0.560022,-1.309492,-0.263368,0.359916,-0.198013,-0.405332,0.931105,1.124758,0.382462,0.009495,-0.016803,1.206331,0.925078,0.173852,0.648054,-0.347206,-0.256228,0.219815,0.301075,0.120395,-0.23406,-0.573835,-0.22595,0.016773,-0.097927,-0.416262,-0.383143,0.110634,0.131868,-0.279444,-0.477709,-0.358709,0.179944,-0.177192,0.823294,0.017212,1.974787,0.010957,0.071864,-0.317116,-1.299127,1.38047,-0.290322
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.292134,0.120505,-0.084082,0.161327,-0.290557,0.207001,0.22979,-0.381804,-0.020318,-0.284717,-0.383547,0.069473,0.304292,0.409537,0.146396,-0.722399,0.096347,-0.896038,-0.174028,0.069048,-0.559854,-0.188582,0.045968,-0.737729,0.574554,-0.45938,-0.386704,-0.204485,0.182147,0.604884,-0.055633,1.892586,-0.849759,-0.221786,-3.432283,0.114969,-0.666113,-0.202026,-2.546298,-1.049445,-0.334666,0.114403,1.432823,0.148949,0.311955,0.144636,0.179361,0.222644,0.151179,-0.450671,0.200682,-1.961585,-0.217602,0.322768,-0.489999,0.249867,0.261581,0.198189,0.405542,0.214658,0.220849,-0.210978,0.339438,-0.192142,-0.146276,0.099285,0.137554,0.104749,0.493554,-0.045437,-0.236408,-0.163144,0.527405,-1.652027,-0.298244,0.074767,0.257734,-0.812828,0.070414,0.264903,-0.041285,0.122605,-0.188145,-0.28949,-0.517711,-0.260327,0.005395,0.090658,-0.55221,0.008458,-0.387441,-0.458571,-0.002467,0.099537,-0.13253,0.113135,0.228759,-0.91686,-0.704716,-0.660032,0.164837,-0.037265,-0.268068,1.094945,-0.255217,0.08819,0.737503,0.038479,-0.271325,-0.047689,1.270504,-0.477731,-0.375285,-0.026594,-0.221487,-0.276603,0.006925,0.12151,0.116267,-0.1827,0.093331,-0.063823,-0.828853,-1.044011,-0.499288,0.255745,-0.623045,-0.14316,-0.435396,0.186371,-0.221727,-0.524384,-0.002369,0.513461,0.18679,0.198176,0.970593,1.121497,-0.410543,1.154539,-0.938907,0.24474,-0.537618,1.207195,0.265888,-0.465859,-0.906153,0.342261,-0.976816,0.080741,0.920439,-0.089017,0.043639,-0.352077,-0.193475,0.487044,1.738763,0.133268,-0.119297,0.249545,0.229589,-0.039354,-0.457746,0.030027,-0.140631,0.870556,1.379287,0.461821,0.259447,0.440949,-0.022396,0.652893,0.977994,0.834006,-0.007119,-0.016277,1.505003,-1.186327,-0.88296,0.11305,0.007567,0.382125,-0.139941,0.328362,-0.543021,0.331076,0.058986,0.351409,-0.196354,-0.805195,2.023,-0.756607,0.209264,-0.086263,2.692333,0.524962,2.915151,-0.361985,-1.217092,-0.338767,-0.303048,0.28469,-0.41233,0.492769,-0.126984,5.71876,-1.304753,-1.483923,-0.090621,0.293488,-0.385818,-2.425434,-0.18458,-0.369102
KNS60_CENTRAL_NERVOUS_SYSTEM,0.020576,-0.278594,-0.03922,-0.536103,-0.741621,-0.301845,-0.017486,0.215492,-0.038657,-0.096852,-0.034945,0.521559,-0.001694,0.00132,0.407411,1.345778,0.111455,0.295643,0.315715,0.810648,-0.180914,0.205263,0.121889,-0.205256,0.111393,-0.013963,0.071391,0.165094,-0.192464,-0.403349,-0.365162,0.047022,-0.531457,-0.156562,0.399749,0.093937,0.343292,-0.245114,-0.36144,-0.508133,0.07629,0.53487,0.034744,-0.085401,-0.06087,-0.296412,-0.083565,-0.43192,-0.236917,-0.295409,-0.451739,1.506778,-0.086388,-0.058935,0.593128,-0.206421,-0.426138,-0.190421,0.000963,-0.013577,-0.084566,-0.232186,0.409478,-0.063458,-0.251115,-0.402314,0.119767,0.068373,-0.00994,0.168061,-0.690106,-0.006695,0.330313,0.575865,0.254035,-0.14711,-0.54809,0.100016,0.109385,-0.142286,-0.124439,0.187607,-0.093835,0.309362,1.197011,-0.018662,-0.375954,-0.081487,0.150832,0.894409,-0.168523,-0.033731,-0.283483,-0.209762,-0.402848,-0.067921,0.115873,-0.589147,0.078927,-0.109602,-0.178456,-0.078563,0.071504,-0.197049,-0.574473,-0.098215,0.007372,0.255908,-0.143582,0.059098,-0.501373,0.588959,0.027668,-0.226167,0.219482,-0.190445,0.04139,-0.075553,0.031577,0.064283,0.022699,-0.063496,0.415236,1.210651,0.337804,0.162943,0.461493,0.503612,1.302028,-0.451338,0.219513,-0.478261,1.493091,-0.042553,-0.070596,-0.302723,0.056444,-0.04786,0.530773,1.31546,0.013534,-0.465117,-0.473274,-0.297143,-0.039474,0.13138,3.398987,-0.222582,0.35861,-0.242897,0.83319,-0.172913,-0.17964,0.611459,0.145147,-0.01875,0.250342,0.646042,0.893377,-0.00042,0.080854,0.405339,0.063498,-0.296085,-0.252901,0.130704,-0.124094,-0.241813,-0.0295,-0.079411,-0.203262,0,0.112339,-0.478823,0.450338,-0.003401,-0.070449,0.049892,-0.400999,0.279595,0.535922,-0.067962,-0.017299,0.264326,-0.123633,-0.016256,0.07786,0.131243,0.682572,0.247115,-0.270579,-0.113146,0.339036,-0.043506,0.31981,0.156271,-0.784094,0.837202,-0.252794,0.330174,0.747816,-0.10417,-0.031869,-0.080269,-0.100924,-0.097405,0.912205,0.26166,-0.235728,0.04648,0.611087,0.807472,-0.013742,-0.117595
KNS81_CENTRAL_NERVOUS_SYSTEM,-0.201513,0.363744,-0.15589,-0.713657,-0.076353,-0.575557,-0.275085,0.233797,0.217813,0.596968,0.3003,0.24151,-0.085435,-0.182334,-0.334784,1.733515,1.185972,0.354081,0.294609,0.354885,1.1904,-0.279499,0.650786,-1.096029,0.414586,-0.004701,-0.153252,0.241798,-0.329613,-0.08946,0.19511,0.54169,-0.160611,-0.039228,0.700326,0.232919,0.793272,-0.139327,-1.522488,-1.011068,0.027638,0.509244,0.683353,0.463341,-0.024088,0.187917,0.319474,-0.309579,-0.00557,-0.620307,-0.40845,5.045559,-0.136924,0.073735,-0.496374,0.023347,0.049044,-0.117284,-0.789652,-0.378695,-0.00487,-0.134958,0.553616,-0.910356,-0.234237,-0.179045,-0.57265,0.204068,-0.697489,0.295187,-1.181875,-0.516184,0.295244,0.855637,1.305556,-0.128653,-0.030354,0.198713,-0.013741,-0.277209,0.008158,-0.577426,-0.285826,0.122399,-0.401232,-0.438801,0.121594,-0.029884,-0.42635,-0.217335,1.625721,0.316474,-0.456009,0.335227,0.212784,0.239989,0.493265,0.416119,0.808739,-0.047152,0.041358,2.117751,-0.314781,2.8082,0.065205,0.602236,0.043183,0.593382,-0.263677,-1.132313,-0.373129,1.548803,0.064271,-0.02275,-0.104404,0.452549,-0.409637,-0.055457,-0.796656,-1.155907,-0.498176,-0.005401,-0.135701,1.167268,0.642671,0.081698,-1.173936,1.308421,-2.029178,1.424821,0.092353,-0.918463,0.376158,-0.149991,-0.065755,0.089299,-0.032874,-0.213207,0.850363,-0.160911,1.441517,-0.096697,1.134043,-1.25267,-0.118251,0.2639,4.027731,-0.221793,0.719978,-0.270808,-1.184395,0.095282,0.236084,0.443912,-0.131691,-0.196459,0.389465,1.024268,1.031404,0.057579,0.09051,-0.158014,-0.146674,0.448677,-0.124751,-0.040729,-0.149241,-0.231538,-0.332776,-0.324695,-0.160684,-0.248013,0.083785,-0.1381,0.266834,0.258492,-1.65564,0.958741,1.116802,0.737099,-0.076175,-0.338336,0.497897,2.953091,-0.012177,-0.13257,-0.133946,0.071119,-0.143008,0.065654,0.291152,0.178168,0.741337,0.493776,0.616797,-0.439099,-1.581371,0.259131,-0.424718,0.220989,-0.162156,0.383873,-0.25906,0.438373,0.497763,0.185704,0.679666,-1.890594,-0.37772,-0.382615,0.147032,-0.370201,0.249863,0.501722
